CustomerID,Cliente,ProductID,Producto,Categoria,Proveedor,UnidadesTotales,TotalPedidos,PromedioPorPedido,MaximoPorPedido,MinimoPorPedido,ValorTotal
BLAUS,Blauer See Delikatessen,54,Tourtière,Meat/Poultry,Ma Maison,20,1,20,20,20,"149,00"
BLAUS,Blauer See Delikatessen,47,Zaanse koeken,Confections,Zaanse Snoepfabriek,14,1,14,14,14,"133,00"
BLAUS,Blauer See Delikatessen,11,Queso Cabrales,Dairy Products,Cooperativa de Quesos 'Las Cabras',14,1,14,14,14,"294,00"
BLAUS,Blauer See Delikatessen,76,Lakkalikööri,Beverages,Karkki Oy,14,1,14,14,14,"252,00"
BLAUS,Blauer See Delikatessen,18,Carnarvon Tigers,Seafood,"Pavlova, Ltd.",10,1,10,10,10,"625,00"
BLAUS,Blauer See Delikatessen,51,Manjimup Dried Apples,Produce,"G'day, Mate",8,1,8,8,8,"424,00"
BLAUS,Blauer See Delikatessen,39,Chartreuse verte,Beverages,Aux joyeux ecclésiastiques,5,1,5,5,5,"90,00"
BLAUS,Blauer See Delikatessen,61,Sirop d'érable,Condiments,Forêts d'érables,4,1,4,4,4,"114,00"
BLAUS,Blauer See Delikatessen,57,Ravioli Angelo,Grains/Cereals,Pasta Buttini s.r.l.,4,1,4,4,4,"78,00"
BLAUS,Blauer See Delikatessen,28,Rössle Sauerkraut,Produce,Plutzer Lebensmittelgroßmärkte AG,3,1,3,3,3,"136,80"
BLONP,Blondesddsl père et fils,31,Gorgonzola Telino,Dairy Products,Formaggi Fortini s.r.l.,85,2,42,50,35,"1062,50"
BLONP,Blondesddsl père et fils,39,Chartreuse verte,Beverages,Aux joyeux ecclésiastiques,60,1,60,60,60,"864,00"
BLONP,Blondesddsl père et fils,56,Gnocchi di nonna Alice,Grains/Cereals,Pasta Buttini s.r.l.,40,1,40,40,40,"1216,00"
BLONP,Blondesddsl père et fils,62,Tarte au sucre,Confections,Forêts d'érables,35,1,35,35,35,"1379,00"
BLONP,Blondesddsl père et fils,49,Maxilaku,Confections,Karkki Oy,35,1,35,35,35,"560,00"
BLONP,Blondesddsl père et fils,11,Queso Cabrales,Dairy Products,Cooperativa de Quesos 'Las Cabras',35,1,35,35,35,"735,00"
BLONP,Blondesddsl père et fils,29,Thüringer Rostbratwurst,Meat/Poultry,Plutzer Lebensmittelgroßmärkte AG,35,1,35,35,35,"3465,00"
BLONP,Blondesddsl père et fils,17,Alice Mutton,Meat/Poultry,"Pavlova, Ltd.",30,1,30,30,30,"936,00"
BLONP,Blondesddsl père et fils,28,Rössle Sauerkraut,Produce,Plutzer Lebensmittelgroßmärkte AG,30,1,30,30,30,"1092,00"
BLONP,Blondesddsl père et fils,64,Wimmers gute Semmelknödel,Grains/Cereals,Plutzer Lebensmittelgroßmärkte AG,30,1,30,30,30,"798,00"
BLONP,Blondesddsl père et fils,54,Tourtière,Meat/Poultry,Ma Maison,28,1,28,28,28,"165,20"
BLONP,Blondesddsl père et fils,1,Chai,Beverages,Exotic Liquids,25,1,25,25,25,"450,00"
BLONP,Blondesddsl père et fils,75,Rhönbräu Klosterbier,Beverages,Plutzer Lebensmittelgroßmärkte AG,24,1,24,24,24,"148,80"
BLONP,Blondesddsl père et fils,70,Outback Lager,Beverages,"Pavlova, Ltd.",20,1,20,20,20,"240,00"
BLONP,Blondesddsl père et fils,72,Mozzarella di Giovanni,Dairy Products,Formaggi Fortini s.r.l.,20,1,20,20,20,"556,00"
BLONP,Blondesddsl père et fils,52,Filo Mix,Grains/Cereals,"G'day, Mate",20,1,20,20,20,"112,00"
BLONP,Blondesddsl père et fils,55,Pâté chinois,Meat/Poultry,Ma Maison,18,1,18,18,18,"432,00"
BLONP,Blondesddsl père et fils,18,Carnarvon Tigers,Seafood,"Pavlova, Ltd.",18,1,18,18,18,"1125,00"
BLONP,Blondesddsl père et fils,57,Ravioli Angelo,Grains/Cereals,Pasta Buttini s.r.l.,15,1,15,15,15,"292,50"
BLONP,Blondesddsl père et fils,10,Ikura,Seafood,Tokyo Traders,14,1,14,14,14,"347,20"
BLONP,Blondesddsl père et fils,41,Jack's New England Clam Chowder,Seafood,New England Seafood Cannery,12,1,12,12,12,"115,80"
BLONP,Blondesddsl père et fils,59,Raclette Courdavault,Dairy Products,Gai pâturage,12,1,12,12,12,"660,00"
BLONP,Blondesddsl père et fils,76,Lakkalikööri,Beverages,Karkki Oy,10,1,10,10,10,"180,00"
BLONP,Blondesddsl père et fils,38,Côte de Blaye,Beverages,Aux joyeux ecclésiastiques,10,1,10,10,10,"2108,00"
BLONP,Blondesddsl père et fils,46,Spegesild,Seafood,Lyngbysild,5,1,5,5,5,"48,00"
BOLID,Bólido Comidas preparadas,75,Rhönbräu Klosterbier,Beverages,Plutzer Lebensmittelgroßmärkte AG,50,1,50,50,50,"310,00"
BOLID,Bólido Comidas preparadas,17,Alice Mutton,Meat/Poultry,"Pavlova, Ltd.",40,1,40,40,40,"1560,00"
BOLID,Bólido Comidas preparadas,52,Filo Mix,Grains/Cereals,"G'day, Mate",40,1,40,40,40,"280,00"
BOLID,Bólido Comidas preparadas,4,Chef Anton's Cajun Seasoning,Condiments,New Orleans Cajun Delights,24,1,24,24,24,"422,40"
BOLID,Bólido Comidas preparadas,29,Thüringer Rostbratwurst,Meat/Poultry,Plutzer Lebensmittelgroßmärkte AG,20,1,20,20,20,"2475,80"
BOLID,Bólido Comidas preparadas,57,Ravioli Angelo,Grains/Cereals,Pasta Buttini s.r.l.,16,1,16,16,16,"249,60"
BONAP,Bon app',6,Grandma's Boysenberry Spread,Condiments,Grandma Kelly's Homestead,70,2,35,50,20,"1750,00"
BONAP,Bon app',7,Uncle Bob's Organic Dried Pears,Produce,Grandma Kelly's Homestead,58,2,29,50,8,"1740,00"
BONAP,Bon app',16,Pavlova,Confections,"Pavlova, Ltd.",57,3,19,30,12,"994,65"
BONAP,Bon app',18,Carnarvon Tigers,Seafood,"Pavlova, Ltd.",50,2,25,30,20,"2500,00"
BONAP,Bon app',25,NuNuCa Nuß-Nougat-Creme,Confections,Heli Süßwaren GmbH & Co. KG,50,1,50,50,50,"560,00"
BONAP,Bon app',4,Chef Anton's Cajun Seasoning,Condiments,New Orleans Cajun Delights,50,1,50,50,50,"1100,00"
BONAP,Bon app',40,Boston Crab Meat,Seafood,New England Seafood Cannery,45,2,22,30,15,"828,00"
BONAP,Bon app',43,Ipoh Coffee,Beverages,Leka Trading,40,1,40,40,40,"1472,00"
BONAP,Bon app',51,Manjimup Dried Apples,Produce,"G'day, Mate",40,2,20,20,20,"1908,00"
BONAP,Bon app',54,Tourtière,Meat/Poultry,Ma Maison,39,2,19,24,15,"230,10"
BONAP,Bon app',10,Ikura,Seafood,Tokyo Traders,36,2,18,21,15,"1116,00"
BONAP,Bon app',36,Inlagd Sill,Seafood,Svensk Sjöföda AB,30,1,30,30,30,"570,00"
BONAP,Bon app',56,Gnocchi di nonna Alice,Grains/Cereals,Pasta Buttini s.r.l.,30,1,30,30,30,"1140,00"
BONAP,Bon app',42,Singaporean Hokkien Fried Mee,Grains/Cereals,Leka Trading,30,1,30,30,30,"420,00"
BONAP,Bon app',47,Zaanse koeken,Confections,Zaanse Snoepfabriek,30,1,30,30,30,"285,00"
BONAP,Bon app',71,Flotemysost,Dairy Products,Norske Meierier,30,1,30,30,30,"645,00"
BONAP,Bon app',64,Wimmers gute Semmelknödel,Grains/Cereals,Plutzer Lebensmittelgroßmärkte AG,28,2,14,20,8,"877,80"
BONAP,Bon app',69,Gudbrandsdalsost,Dairy Products,Norske Meierier,25,1,25,25,25,"900,00"
BONAP,Bon app',39,Chartreuse verte,Beverages,Aux joyeux ecclésiastiques,21,1,21,21,21,"378,00"
BONAP,Bon app',46,Spegesild,Seafood,Lyngbysild,21,1,21,21,21,"252,00"
BONAP,Bon app',13,Konbu,Seafood,Mayumi's,20,1,20,20,20,"120,00"
BONAP,Bon app',14,Tofu,Produce,Mayumi's,20,1,20,20,20,"465,00"
BONAP,Bon app',75,Rhönbräu Klosterbier,Beverages,Plutzer Lebensmittelgroßmärkte AG,20,1,20,20,20,"155,00"
BONAP,Bon app',76,Lakkalikööri,Beverages,Karkki Oy,20,1,20,20,20,"360,00"
BONAP,Bon app',72,Mozzarella di Giovanni,Dairy Products,Formaggi Fortini s.r.l.,16,1,16,16,16,"556,80"
BONAP,Bon app',17,Alice Mutton,Meat/Poultry,"Pavlova, Ltd.",16,1,16,16,16,"624,00"
BONAP,Bon app',23,Tunnbröd,Grains/Cereals,PB Knäckebröd AB,15,1,15,15,15,"108,00"
BONAP,Bon app',57,Ravioli Angelo,Grains/Cereals,Pasta Buttini s.r.l.,14,1,14,14,14,"273,00"
BONAP,Bon app',62,Tarte au sucre,Confections,Forêts d'érables,14,1,14,14,14,"690,20"
BONAP,Bon app',41,Jack's New England Clam Chowder,Seafood,New England Seafood Cannery,12,1,12,12,12,"92,40"
BONAP,Bon app',19,Teatime Chocolate Biscuits,Confections,"Specialty Biscuits, Ltd.",10,1,10,10,10,"92,00"
BONAP,Bon app',65,Louisiana Fiery Hot Pepper Sauce,Condiments,New Orleans Cajun Delights,10,1,10,10,10,"210,50"
BONAP,Bon app',8,Northwoods Cranberry Sauce,Condiments,Grandma Kelly's Homestead,10,1,10,10,10,"400,00"
BONAP,Bon app',31,Gorgonzola Telino,Dairy Products,Formaggi Fortini s.r.l.,3,1,3,3,3,"37,50"
BOTTM,Bottom-Dollar Markets,62,Tarte au sucre,Confections,Forêts d'érables,101,3,33,60,20,"4781,30"
BOTTM,Bottom-Dollar Markets,60,Camembert Pierrot,Dairy Products,Gai pâturage,75,2,37,50,25,"2550,00"
BOTTM,Bottom-Dollar Markets,33,Geitost,Dairy Products,Norske Meierier,64,2,32,49,15,"135,50"
BOTTM,Bottom-Dollar Markets,25,NuNuCa Nuß-Nougat-Creme,Confections,Heli Süßwaren GmbH & Co. KG,60,1,60,60,60,"672,00"
BOTTM,Bottom-Dollar Markets,1,Chai,Beverages,Exotic Liquids,60,1,60,60,60,"1080,00"
BOTTM,Bottom-Dollar Markets,44,Gula Malacca,Condiments,Leka Trading,58,2,29,40,18,"970,10"
BOTTM,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,"Pavlova, Ltd.",56,2,28,50,6,"1794,00"
BOTTM,Bottom-Dollar Markets,40,Boston Crab Meat,Seafood,New England Seafood Cannery,50,1,50,50,50,"735,00"
BOTTM,Bottom-Dollar Markets,10,Ikura,Seafood,Tokyo Traders,46,2,23,30,16,"1326,80"
BOTTM,Bottom-Dollar Markets,68,Scottish Longbreads,Confections,"Specialty Biscuits, Ltd.",42,1,42,42,42,"525,00"
BOTTM,Bottom-Dollar Markets,72,Mozzarella di Giovanni,Dairy Products,Formaggi Fortini s.r.l.,35,1,35,35,35,"1218,00"
BOTTM,Bottom-Dollar Markets,70,Outback Lager,Beverages,"Pavlova, Ltd.",30,1,30,30,30,"360,00"
BOTTM,Bottom-Dollar Markets,24,Guaraná Fantástica,Beverages,Refrescos Americanas LTDA,30,1,30,30,30,"135,00"
BOTTM,Bottom-Dollar Markets,47,Zaanse koeken,Confections,Zaanse Snoepfabriek,30,1,30,30,30,"228,00"
BOTTM,Bottom-Dollar Markets,59,Raclette Courdavault,Dairy Products,Gai pâturage,25,2,12,16,9,"1100,00"
BOTTM,Bottom-Dollar Markets,41,Jack's New England Clam Chowder,Seafood,New England Seafood Cannery,25,1,25,25,25,"192,50"
BOTTM,Bottom-Dollar Markets,51,Manjimup Dried Apples,Produce,"G'day, Mate",24,1,24,24,24,"1272,00"
BOTTM,Bottom-Dollar Markets,42,Singaporean Hokkien Fried Mee,Grains/Cereals,Leka Trading,20,1,20,20,20,"224,00"
BOTTM,Bottom-Dollar Markets,3,Aniseed Syrup,Condiments,Exotic Liquids,20,1,20,20,20,"200,00"
BOTTM,Bottom-Dollar Markets,7,Uncle Bob's Organic Dried Pears,Produce,Grandma Kelly's Homestead,20,1,20,20,20,"600,00"
BOTTM,Bottom-Dollar Markets,56,Gnocchi di nonna Alice,Grains/Cereals,Pasta Buttini s.r.l.,18,1,18,18,18,"684,00"
BOTTM,Bottom-Dollar Markets,8,Northwoods Cranberry Sauce,Condiments,Grandma Kelly's Homestead,16,1,16,16,16,"640,00"
BOTTM,Bottom-Dollar Markets,55,Pâté chinois,Meat/Poultry,Ma Maison,15,1,15,15,15,"288,00"
BOTTM,Bottom-Dollar Markets,6,Grandma's Boysenberry Spread,Condiments,Grandma Kelly's Homestead,12,1,12,12,12,"300,00"
BOTTM,Bottom-Dollar Markets,75,Rhönbräu Klosterbier,Beverages,Plutzer Lebensmittelgroßmärkte AG,10,1,10,10,10,"77,50"
BOTTM,Bottom-Dollar Markets,43,Ipoh Coffee,Beverages,Leka Trading,9,1,9,9,9,"414,00"
BOTTM,Bottom-Dollar Markets,11,Queso Cabrales,Dairy Products,Cooperativa de Quesos 'Las Cabras',5,1,5,5,5,"105,00"
BSBEV,B's Beverages,7,Uncle Bob's Organic Dried Pears,Produce,Grandma Kelly's Homestead,34,2,17,30,4,"840,00"
BSBEV,B's Beverages,3,Aniseed Syrup,Condiments,Exotic Liquids,30,1,30,30,30,"240,00"
BSBEV,B's Beverages,43,Ipoh Coffee,Beverages,Leka Trading,30,1,30,30,30,"1380,00"
BSBEV,B's Beverages,21,Sir Rodney's Scones,Confections,"Specialty Biscuits, Ltd.",29,2,14,15,14,"262,00"
BSBEV,B's Beverages,13,Konbu,Seafood,Mayumi's,23,2,11,15,8,"138,00"
BSBEV,B's Beverages,22,Gustaf's Knäckebröd,Grains/Cereals,PB Knäckebröd AB,21,1,21,21,21,"441,00"
BSBEV,B's Beverages,35,Steeleye Stout,Beverages,Bigfoot Breweries,20,1,20,20,20,"360,00"
BSBEV,B's Beverages,56,Gnocchi di nonna Alice,Grains/Cereals,Pasta Buttini s.r.l.,20,1,20,20,20,"608,00"
BSBEV,B's Beverages,46,Spegesild,Seafood,Lyngbysild,15,1,15,15,15,"180,00"
BSBEV,B's Beverages,33,Geitost,Dairy Products,Norske Meierier,15,1,15,15,15,"37,50"
BSBEV,B's Beverages,40,Boston Crab Meat,Seafood,New England Seafood Cannery,10,1,10,10,10,"147,00"
BSBEV,B's Beverages,62,Tarte au sucre,Confections,Forêts d'érables,10,1,10,10,10,"493,00"
BSBEV,B's Beverages,64,Wimmers gute Semmelknödel,Grains/Cereals,Plutzer Lebensmittelgroßmärkte AG,9,1,9,9,9,"239,40"
BSBEV,B's Beverages,70,Outback Lager,Beverages,"Pavlova, Ltd.",7,1,7,7,7,"105,00"
BSBEV,B's Beverages,57,Ravioli Angelo,Grains/Cereals,Pasta Buttini s.r.l.,6,1,6,6,6,"117,00"
BSBEV,B's Beverages,49,Maxilaku,Confections,Karkki Oy,6,1,6,6,6,"120,00"
BSBEV,B's Beverages,59,Raclette Courdavault,Dairy Products,Gai pâturage,4,1,4,4,4,"220,00"
BSBEV,B's Beverages,51,Manjimup Dried Apples,Produce,"G'day, Mate",3,1,3,3,3,"127,20"
BSBEV,B's Beverages,72,Mozzarella di Giovanni,Dairy Products,Formaggi Fortini s.r.l.,1,1,1,1,1,"34,80"
CACTU,Cactus Comidas para llevar,34,Sasquatch Ale,Beverages,Bigfoot Breweries,20,1,20,20,20,"280,00"
CACTU,Cactus Comidas para llevar,67,Laughing Lumberjack Lager,Beverages,Bigfoot Breweries,20,1,20,20,20,"280,00"
